area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Sarjapur  Road,3,Adntsra,2556,3,2,169.0
Super built-up  Area,19-Jun,Whitefield,3,VaiteEx,1870,3,2,138.0
Super built-up  Area,18-May,Panathur,2,Prcesvy,1199,2,1,86.0
Super built-up  Area,Ready To Move,Kundalahalli,2,Dieldli,1047,2,1,83.0
Super built-up  Area,Ready To Move,Jakkur,3,HRaniIb,1645,3,1,100.0
Super built-up  Area,18-Apr,Hosur Road,3,PuendWe,1766,3,1,130.0
Super built-up  Area,Ready To Move,Jigani,3,DLhtsen,1221,3,3,52.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Adeatlm,1278,2,2,90.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,2,PentyVB,1025,2,2,66.0
Super built-up  Area,18-Aug,Whitefield,2,SSdhimr,1175,2,1,39.0
Super built-up  Area,Ready To Move,Ananth Nagar,2,Patri M,937,2,1,35.0
Built-up  Area,Ready To Move,Shampura,3,Koillph,1475,3,3,78.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2,MJtroty,1116,2,2,37.0
Super built-up  Area,Ready To Move,Bhoganhalli,3,Pride S,1760,3,2,127.0
Super built-up  Area,Ready To Move,Sahakara Nagar,3,HoAcela,1914,3,3,179.0
Super built-up  Area,Ready To Move,Budigere,3,PrityTr,1820,3,2,85.5
Super built-up  Area,Ready To Move,Budigere,3,PrityTr,1820,3,2,93.0
Built-up  Area,Ready To Move,Kalena Agrahara,3,Rahidhi,1565,3,2,78.0
Super built-up  Area,Ready To Move,Jigani,2,DLhtsan,914,2,2,49.0
Super built-up  Area,18-Mar,Yelahanka,3,Miitat ,2145,3,3,125.0
Super built-up  Area,Ready To Move,Marathahalli,4,PueraRi,3940,4,3,220.0
Super built-up  Area,Ready To Move,Bommasandra,2,Heatee ,1014,2,1,35.0
Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1180,2,2,41.0
Super built-up  Area,20-Aug,Begur Road,4,Pruthg ,2400,4,2,152.0
Super built-up  Area,Ready To Move,Banashankari,2,Koestpt,1200,2,1,60.0
Super built-up  Area,Ready To Move,Hoodi,3,Keers S,1769,3,3,96.87
Plot  Area,Ready To Move,Jigani,4,Ceeury ,133.3Sq. Yards,3,2,160.0
Carpet  Area,18-Dec,Bhoganhalli,4,Rosha I,1554.3,4,1,131.0
Super built-up  Area,Ready To Move,Mallasandra,2,Shbhi S,905,2,1,40.0
Super built-up  Area,Ready To Move,Marathahalli,3,Palanla,1435,3,1,73.0
Built-up  Area,Ready To Move,Kodihalli,3,KAMESRI,1620,3,2,130.0
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1025,2,1,49.0
Super built-up  Area,Ready To Move,Thanisandra,3,MenueNo,1430,2,3,54.5
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,NianaBr,1291,2,3,32.0
Super built-up  Area,Ready To Move,Kanakpura Road,3,PuandHi,1498,3,2,95.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Adeatlm,2180,3,2,240.0
Super built-up  Area,Ready To Move,AECS Layout,2,CMhamai,1123,2,2,64.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GRvanun,1235,2,1,75.0
Super built-up  Area,18-Nov,Sarjapur  Road,2,AsastDe,984,2,1,45.91
Super built-up  Area,Ready To Move,Sarjapur  Road,2,PuineSu,1305,2,1,99.0
Super built-up  Area,Ready To Move,Old Madras Road,4,Brglede,2010,3,2,125.0
Built-up  Area,Ready To Move,Varthur Road,2,VRdelit,1277,2,2,59.0
Super built-up  Area,Ready To Move,Shikaripalya,3,ALtonea,1442,3,2,56.24
Super built-up  Area,Ready To Move,Ardendale,2,AWharde,1224,2,2,70.0
Super built-up  Area,Ready To Move,Electronic City,3,Goty  E,1449,3,2,90.0
Super built-up  Area,Ready To Move,Yelenahalli,2,Nisisn ,1090,2,1,54.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2,Vincyat,1000,2,2,58.0
Super built-up  Area,21-Dec,Thanisandra,3,Bhe 2ko,1732,3,1,85.73
Super built-up  Area,Ready To Move,Banashankari,2,Bregae ,1290,2,2,80.0
Built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2,NaaveEn,1100,2,2,57.0
Super built-up  Area,18-Dec,Old Airport Road,4,Jaades ,2774,4,3,208.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,3,Shireru,1425,2,2,65.0
Super built-up  Area,18-Dec,Whitefield,3,Prtates,1655,3,1,113.0
Plot  Area,Ready To Move,Yelahanka,4,InllaPa,1800,4,2,180.0
Built-up  Area,Ready To Move,Ashirvad Colony,4,VMowsea,2050,3,1,100.0
Super built-up  Area,Ready To Move,Kambipura,2,Prrtht ,883,2,1,37.0
Super built-up  Area,Ready To Move,Ramagondanahalli,2,SVodsve,1295,2,2,95.0
Super built-up  Area,Ready To Move,Sompura,3,Suiseit,1275,3,1,59.0
Super built-up  Area,Ready To Move,Bellandur,2,MancyRe,1063,2,1,58.0
Super built-up  Area,18-Dec,Marathahalli,2,Unezes ,881,2,1,48.06
Super built-up  Area,18-Dec,Hosa Road,3,SJerse ,1680,3,1,101.0
Super built-up  Area,Ready To Move,Rayasandra,2,MJeusyl,1253,2,2,57.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1640,3,3,230.0
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,58.0
Built-up  Area,18-Aug,Electronic City Phase II,2,Sryalan,1125,2,1,29.25
Super built-up  Area,Ready To Move,Electronic City,2,DSgmax ,1210,2,1,54.0
Built-up  Area,18-Apr,Electronic City,3,GMown E,1500,2,1,75.0
Super built-up  Area,Ready To Move,Coffee Board Layout,3,Sanstya,1652.5,3,2,90.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3,IBityin,1381,2,2,76.18
Super built-up  Area,18-Dec,Whitefield,2,BSlasin,1085,2,1,57.0
Super built-up  Area,Ready To Move,Hennur Road,3,MItatHa,1685,3,2,95.0
Super built-up  Area,Ready To Move,Somasundara Palya,2,ManceEl,1200,2,2,75.0
Super built-up  Area,Ready To Move,Anandapura,2,ViensRK,1151,2,1,42.9
Built-up  Area,Ready To Move,Brookefield,4,Goodsrb,3532,3,3,170.0
Super built-up  Area,Ready To Move,Kanakpura Road,3,PuandHi,1665,3,2,86.91
Built-up  Area,Ready To Move,Kengeri Satellite Town,2,Malowr ,800,2,1,40.0
Super built-up  Area,Ready To Move,Rajiv Nagar,2,Ahntyve,1030,2,2,46.5
Super built-up  Area,Ready To Move,Hoodi,2,Keers S,1257,2,1,71.03
Super built-up  Area,18-Dec,Whitefield,3,BSlasin,1600,3,2,82.0
Super built-up  Area,Ready To Move,Choodasandra,3,GRlpank,1465,3,3,75.0
Super built-up  Area,Ready To Move,Jakkur,3,HRaniIb,1650,3,2,111.0
Super built-up  Area,Ready To Move,Koramangala,2,Jainaht,1300,2,2,82.0
Built-up  Area,Ready To Move,KR Puram,2,Hoston ,1000,2,1,44.5
Super built-up  Area,Ready To Move,Mahadevpura,2,Neisei ,1146,2,1,53.8
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3,PrBayGa,2159,3,2,110.0
Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1255,2,2,40.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,2,Vrensn ,1130,2,2,60.0
Super built-up  Area,Ready To Move,Padmanabhanagar,2,Shers S,1200,2,1,60.0
Built-up  Area,Ready To Move,Sarjapur  Road,2,ARineun,1040,2,1,37.0
Super built-up  Area,Ready To Move,Uttarahalli,2,Shony S,1180,2,1,41.3
Built-up  Area,Ready To Move,Sarjapur  Road,3,MJinele,1374,3,2,51.0
Super built-up  Area,Ready To Move,Yelahanka,2,Neite T,1200,2,1,54.0
Built-up  Area,Ready To Move,Haralur Road,3,NDionas,2017,3,2,105.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1303,2,1,55.79
Super built-up  Area,Ready To Move,Gottigere,3,SMshi M,1380,2,2,95.0
Super built-up  Area,Ready To Move,Harlur,3,Shodsir,1620,3,1,110.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Maager ,1000,2,1,38.5
Super built-up  Area,Ready To Move,Yelahanka,2,PuziaVe,1322,2,2,75.0
Super built-up  Area,Ready To Move,Sahakara Nagar,3,HoAcela,1500,3,2,125.0
Super built-up  Area,Ready To Move,Kaggadasapura,3,Mancya ,1256,2,2,50.0
Super built-up  Area,Ready To Move,Brookefield,2,Neestna,941,2,2,48.0
Plot  Area,Ready To Move,Devanahalli,4,Soacyst,5000,4,3,465.0
Super built-up  Area,Ready To Move,Kanakpura Road,3,PuandHi,1665,3,2,86.58
Super built-up  Area,Ready To Move,Hebbal,2,Thuse F,1200,2,1,49.0
Built-up  Area,Ready To Move,Wilson Garden,3,SaageWi,1680,3,3,135.0
Super built-up  Area,Ready To Move,Uttarahalli,2,Suitea ,1380,2,1,42.0
Super built-up  Area,18-May,Hebbal,2,Arcia S,1088,2,2,62.0
Super built-up  Area,Ready To Move,Harlur,3,Zonce E,1414,3,2,77.5
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,52.0
Super built-up  Area,Ready To Move,Shikaripalya,2,Maenara,1265,2,1,58.0
Built-up  Area,Ready To Move,Friends Colony,2,SiidsGa,1035,2,2,44.0
Super built-up  Area,Ready To Move,Vittasandra,3,Prlla C,1650,3,1,84.0
Super built-up  Area,Ready To Move,Marathahalli,3,Thowsil,1130,2,2,58.0
Built-up  Area,Ready To Move,Devasthanagalu,2,CMhidal,1090,2,2,45.0
Super built-up  Area,Ready To Move,JP Nagar,2,DSillto,1100,2,1,45.0
Super built-up  Area,18-Aug,Kammasandra,3,DSOakil,1365,2,1,34.13
Super built-up  Area,20-Feb,Vijayanagar,3,Saahaat,1484,3,2,79.19
Super built-up  Area,Ready To Move,Green Glen Layout,3,Prodsm ,1630,3,2,68.0
Super built-up  Area,18-May,Whitefield,3,SMuilan,1451,2,2,52.43
Super built-up  Area,19-Jul,Kanakpura Road,2,Soazak ,1330,2,1,107.0
Super built-up  Area,Ready To Move,Thanisandra,3,NRncyrk,2127,3,2,135.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,MJinele,1173,2,2,45.75
Super built-up  Area,Ready To Move,JP Nagar,2,MBncyh ,1197,2,1,47.88
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1450,3,3,62.4
Super built-up  Area,Ready To Move,Whitefield,2,SMuilan,1187,2,1,37.85
Super built-up  Area,18-May,Panathur,3,Saite G,1370,2,2,54.8
Super built-up  Area,Ready To Move,Yelahanka,2,Pyikad ,1036,2,2,39.37
Super built-up  Area,Ready To Move,Old Madras Road,4,Brglede,2010,3,2,115.0
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1265,2,2,46.6
Super built-up  Area,Ready To Move,Anandapura,3,ViensRK,1576,3,2,58.0
Super built-up  Area,Ready To Move,Green View Layout,2,Makeser,1000,2,1,36.0
Super built-up  Area,Ready To Move,Kudlu,3,MJinala,1293,2,2,85.0
Built-up  Area,Ready To Move,HSR Layout,2,SruntFa,1126,2,1,69.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,3,SamesHo,1300,2,2,52.0
Super built-up  Area,Ready To Move,Thanisandra,2,Bhmesy ,1276,2,2,75.0
Super built-up  Area,Ready To Move,Whitefield,2,Prtates,1216,2,1,83.0
Built-up  Area,Ready To Move,Sompura,2,Suiseit,1126,2,2,39.0
Super built-up  Area,Ready To Move,Whitefield,2,Nillsre,1301,2,2,65.0
Super built-up  Area,Ready To Move,Whitefield,3,Toindls,2500,3,2,280.0
Built-up  Area,Ready To Move,Chandapura,3,Vailsaf,1208.51,3,2,42.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1133,2,2,38.41
Super built-up  Area,Ready To Move,Shettigere,3,LendaVi,1760,2,1,116.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,52.0
Super built-up  Area,Ready To Move,Sarjapur,2,DSousyl,940,2,1,25.38
Super built-up  Area,Ready To Move,Badavala Nagar,2,CMDewun,1145,2,2,57.0
Built-up  Area,Ready To Move,Thubarahalli,2,ShdhiSa,1216,2,1,80.0
Super built-up  Area,Ready To Move,Tumkur Road,3,Soire A,1459,2,1,110.0
Super built-up  Area,Ready To Move,Kanakpura Road,3,PuandHi,1843,3,2,85.0
Super built-up  Area,20-Jan,Badavala Nagar,2,DNncasa,1274,2,1,81.0
Super built-up  Area,Ready To Move,Malleshpalya,3,KencyRe,1430,2,1,69.5
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1565,2,2,57.91
Super built-up  Area,Ready To Move, Devarabeesana Halli,3,Sorisa ,1670,3,2,160.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3,RothaVa,1695,3,2,150.0
Super built-up  Area,Ready To Move,Akshayanagara West,2,ISeekon,1410,2,2,75.0
Super built-up  Area,19-Dec,Jalahalli,2,DSata S,1083,2,1,32.49
Super built-up  Area,20-Dec,Electronic City,4,KonteiT,2435,4,3,119.0
Super built-up  Area,18-Aug,Iblur Village,3,DNionfl,1920,3,2,150.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,50.0
Super built-up  Area,Ready To Move,Mahadevpura,2,3Codeli,1532,2,2,62.0
Super built-up  Area,Ready To Move,Rajiv Nagar,2,PuoodSk,1330,2,1,93.0
Built-up  Area,Ready To Move,Sarjapur  Road,3,Nauha G,1530,2,2,60.0
Super built-up  Area,18-Jul,Harlur,3,Shodsir,1630,3,1,95.1
Built-up  Area,Ready To Move,Banashankari,6,Giaver ,1200,6,2,180.0
Built-up  Area,Ready To Move,Brookefield,3,Saowson,1595,2,3,75.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Hiestre,1000,2,2,53.0
Super built-up  Area,18-May,Electronic City Phase II,2,Sryalan,1000,2,1,28.88
Super built-up  Area,18-Aug,Electronic City Phase II,2,Sryalan,1000,2,1,28.88
Built-up  Area,Ready To Move,Mysore Road,2,PrawnRa,883,2,1,50.0
Super built-up  Area,Ready To Move,BTM Layout,3,Raide P,1776,2,3,75.0
Super built-up  Area,19-Dec,Anjanapura,3,DSapeto,1347,2,1,37.72
Super built-up  Area,Ready To Move,Whitefield,3,KKdenng,1330,2,2,55.0
Super built-up  Area,Ready To Move,Harlur,3,SomonCi,1459,3,2,135.0
Super built-up  Area,Ready To Move,NTI Layout,2,Vaent V,1200,2,2,52.5
Super built-up  Area,18-May,Vasanth nagar,4,Dheusag,2328,4,1,528.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1800,2,2,250.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4,Brway G,3100,4,3,550.0
Super built-up  Area,Ready To Move,Marathahalli,3,Asintas,1710,3,2,100.0
Super built-up  Area,Ready To Move,JP Nagar,3,Adaveth,1500,2,3,82.0
Built-up  Area,Ready To Move,Glass Factory Layout,3,VMlet C,1539,3,2,60.0
Super built-up  Area,20-Dec,Judicial Layout,3,PrarePa,1100,2,1,53.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1151,2,1,49.0
Super built-up  Area,Ready To Move,Kathriguppe,3,Prone M,1350,3,3,78.3
Super built-up  Area,Ready To Move,Bannerghatta Road,2,Shissut,1200,2,2,65.0
Super built-up  Area,18-Apr,Sarjapur  Road,3,PualeSk,1700,3,2,93.5
Built-up  Area,Ready To Move,R.T. Nagar,3,SiineSu,1560,3,3,125.0
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Arldsyo,1403,3,1,56.0
Super built-up  Area,Ready To Move,Tumkur Road,3,Sahtsva,1416,3,1,94.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Eladero,1680,3,2,125.0
Super built-up  Area,Ready To Move,Doddathoguru,3,Prora F,1595,3,3,62.0
Super built-up  Area,Ready To Move,Kanakpura Road,3,Niacesa,1507,2,3,95.0
Super built-up  Area,Ready To Move,Hennur Road,3,SaireSa,1949,3,1,133.0
Built-up  Area,18-Dec,Electronic City Phase II,2,Sryalan,1000,2,1,28.88
Super built-up  Area,Ready To Move,Hosakerehalli,3,Taonte ,2480,3,2,245.0
Super built-up  Area,Ready To Move,Yelahanka,2,Rarthne,1100,2,1,60.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4,PhestOn,3526,4,3,598.0
Super built-up  Area,Ready To Move,Gottigere,3,Apentir,1425,2,2,47.0
Super built-up  Area,Ready To Move,Uttarahalli,3,Shony S,1385,2,2,48.48
Built-up  Area,Ready To Move,HBR Layout,3,Giersin,1783,3,2,125.0
Super built-up  Area,18-Mar,Haralur Road,3,SNnia E,1520,2,2,90.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,SavanBr,1060,2,1,55.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1267,2,1,54.35
Built-up  Area,Ready To Move,Karuna Nagar,3,CoinoCu,2500,3,2,180.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2,MNikaas,1240,2,1,65.0
Super built-up  Area,Ready To Move,Gollahalli,3,MJlese ,1570,3,2,78.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1550,3,3,52.45
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,Neess P,1100,2,1,50.0
Super built-up  Area,Ready To Move, Devarabeesana Halli,3,Sorisa ,1750,3,2,150.0
Super built-up  Area,18-Mar,9th Phase JP Nagar,2,HMigond,1466,2,2,71.0
Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1550,3,2,72.5
Plot  Area,Ready To Move,8th Phase JP Nagar,3,Hincy V,950,3,2,130.0
Super built-up  Area,Ready To Move,Cunningham Road,3,LeDuvMy,2880,3,2,501.0
Super built-up  Area,Ready To Move,Hoodi,2,Keers S,1305,2,1,75.0
Super built-up  Area,19-Mar,Hennur Road,2,Puachal,1232,2,2,89.0
Super built-up  Area,21-Nov,Thanisandra,3,Bhe 2ko,1732,3,3,85.73
Super built-up  Area,Ready To Move,Yelahanka,3,PuziaVe,1614,2,1,100.0
Super built-up  Area,Ready To Move,Electronic City,2,Itvir M,919,2,2,34.0
Plot  Area,Ready To Move,Marsur,3,AreraRe,1200,3,1,150.0
Built-up  Area,Ready To Move,Doctors Layout,2,Mavelr ,1000,2,2,42.0
Super built-up  Area,Ready To Move,Whitefield,2,Prtates,1216,2,1,75.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,4,Soiewre,2245,4,2,154.0
Super built-up  Area,18-Feb,Bannerghatta Road,3,Baanise,1476,3,1,125.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,SoechHa,1852,3,2,130.0
Super built-up  Area,Ready To Move,Panathur,3,Skinaa ,1597,3,1,67.12
Super built-up  Area,19-Mar,Marathahalli,2,PrensKe,1152,2,1,90.0
Plot  Area,Ready To Move,Kammasandra,3,Daden G,1400,3,2,92.0
Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1530,2,2,74.4
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1185,2,2,40.17
Super built-up  Area,18-May,Yelahanka,3,Miitat ,1890,3,2,108.0
Built-up  Area,18-Feb,Gunjur Palya,2,BDectou,830,2,2,40.0
Built-up  Area,18-Jul,Electronic City Phase II,2,Sryalan,1165,2,1,30.29
Super built-up  Area,Ready To Move,Maithri Layout,3,ItAnuna,1685,3,2,60.0
Super built-up  Area,Ready To Move,Sarakki Nagar,4,Sowerew,3131,4,3,349.0
Super built-up  Area,Ready To Move,Kachanayakanahalli,2,ICoolon,827,2,1,45.0
Built-up  Area,Ready To Move,Whitefield,4,Prtates,4000,4,3,380.0
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,2,ShtalCr,1050,2,1,50.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,Elleyt ,1751,3,3,72.0
Super built-up  Area,18-Jun,Bommasandra,2,SSestth,1020,2,1,40.89
Super built-up  Area,Ready To Move,Thanisandra,2,SaSkyBl,1148,2,1,43.5
Super built-up  Area,18-Aug,Talaghattapura,3,Sodgere,1856,3,2,135.0
Super built-up  Area,Ready To Move,Bellandur,2,GoncyRe,1325,2,2,65.0
Super built-up  Area,Ready To Move,Sai Gardens,2,Alivae ,1261,2,2,61.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Eladero,1675,2,2,135.0
Built-up  Area,Ready To Move,Uttarahalli,2,Sencys ,1160,2,2,45.0
Super built-up  Area,Ready To Move,Sahakara Nagar,3,HoAcela,1914,3,2,149.0
Super built-up  Area,Ready To Move,BTM Layout,3,C ensnd,1458,3,2,79.0
Super built-up  Area,Ready To Move,Yelahanka,3,PuziaVe,1556,3,2,86.0
Super built-up  Area,Ready To Move,Jigani,2,DLhtsan,918,2,2,50.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Mades G,1455,2,1,98.0
Built-up  Area,Ready To Move,Bannerghatta Road,3,Pyvenas,1100,2,2,52.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,S2kaaan,1405,3,2,48.87
Super built-up  Area,Ready To Move,Subramanyapura,2,Prldsri,929,2,1,56.0
Super built-up  Area,17-Jul,Channasandra,2,Unm 2El,1065,2,1,40.47
Built-up  Area,Ready To Move,Anandapura,2,LoLeoen,1250,2,2,45.0
Super built-up  Area,Ready To Move,Marathahalli,3,Asintas,1680,3,3,105.0
Super built-up  Area,Ready To Move,Nagarbhavi,2,Shentpa,1146,2,1,50.0
Super built-up  Area,17-Oct,Ramagondanahalli,3,ViistLa,1451,3,1,60.44
Super built-up  Area,Ready To Move,Nobo Nagar,3,Elacet ,1424,2,3,55.0
Super built-up  Area,Ready To Move,Gottigere,3,Krryll ,1435,2,3,62.0
Super built-up  Area,Ready To Move,Whitefield,2,FoityIn,1242,2,2,65.0
Super built-up  Area,Ready To Move,Hulimavu,2,Reiteee,1127,2,1,65.0
Super built-up  Area,Ready To Move,Krishna Reddy Layout,3,ThntsAp,1250,3,1,55.0
Super built-up  Area,Ready To Move,Chandapura,2,PavesGr,876,2,2,29.5
Super built-up  Area,18-May,Bommasandra,2,SSestth,920,2,1,37.2
Built-up  Area,Ready To Move,Sarjapur  Road,3,Adeatlm,1850,3,3,140.0
Super built-up  Area,Ready To Move,Electronic City,2,Goty  E,1073,2,2,60.0
Super built-up  Area,Ready To Move,Maithri Layout,3,Lalipa ,1540,3,3,76.0
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1550,3,3,63.5
Super built-up  Area,Ready To Move,Kalyan nagar,2,Satle C,1198,2,1,65.0
Super built-up  Area,Ready To Move,HBR Layout,3,HMtesle,1656,3,2,90.0
Super built-up  Area,Ready To Move,Kaveri Nagar,3,Roiti A,1900,3,3,155.0
Built-up  Area,Ready To Move,Ramagondanahalli,3,DNeremo,1910,3,2,142.0
Super built-up  Area,19-Dec,Thanisandra,3,DSity S,2172,3,2,76.02
Super built-up  Area,Ready To Move,Whitefield,3,DSe 2ie,1548,3,1,65.0
Super built-up  Area,18-Jul,Hosur Road,3,PuendWe,1689,3,1,103.0
Super built-up  Area,18-Jul,Bhoganhalli,4,Rosha I,2119,4,2,111.0
Super built-up  Area,Ready To Move,Devi Nagar,2,RMerslu,1100,2,1,61.0
Super built-up  Area,Ready To Move,Hennur Road,3,Mileeou,1250,2,1,77.88
Super built-up  Area,18-Apr,Electronic City,3,GMown E,1500,2,1,78.0
Built-up  Area,Ready To Move,OLd Gurappanapalya,3,SoliaMa,1942,3,1,155.0
Super built-up  Area,18-Dec,Haralur Road,3,NDiteio,1985,3,2,130.0
Super built-up  Area,Ready To Move,Green Glen Layout,3,Solia D,1752,3,2,105.0
Super built-up  Area,Ready To Move,Old Madras Road,3,Brglede,1480,2,2,84.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Saitya ,1826,3,2,130.0
Super built-up  Area,Ready To Move,Thanisandra,2,Bhmesy ,934,2,2,55.0
Super built-up  Area,Ready To Move,Mahadevpura,3,Neisei ,1620,2,1,76.0
Super built-up  Area,17-Jun,Electronic City,2,GMown E,1070,2,1,47.0
Super built-up  Area,19-Dec,Balagere,2,Soresea,1012,2,1,54.59
Super built-up  Area,19-Dec,Electronic City Phase II,3,DSineSt,1611,2,2,48.33
Super built-up  Area,Ready To Move,Whitefield,3,Gamesti,1405,3,2,58.0
Super built-up  Area,Ready To Move,VGP Layout,3,Vaurtar,1515,3,3,90.0
Built-up  Area,Ready To Move,BTM Layout,2,Varala ,935,2,1,51.5
Super built-up  Area,Ready To Move,Jakkur,2,AvensGa,1125,2,2,65.0
Super built-up  Area,Ready To Move,Magadi Road,3,Vrenty ,1191,2,1,55.38
Super built-up  Area,Ready To Move,CV Raman Nagar,3,Keera R,1525,2,3,67.0
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185,2,2,44.0
Super built-up  Area,18-May,Electronics City Phase 1,2,Shitt S,1190,2,1,68.0
Super built-up  Area,Ready To Move,Bommasandra Industrial Area,3,Stkarrd,1250,3,3,50.0
Built-up  Area,Ready To Move,Ambalipura,4,Toeadp ,3300,4,2,329.0
Super built-up  Area,Ready To Move,Green Woods Layout,2,Paarklu,1206,2,1,53.0
Super built-up  Area,18-Aug,Rajaji Nagar,2,ProdsWe,1357,2,1,130.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,MBodsen,909,2,1,40.9
Built-up  Area,Ready To Move,Brookefield,2,Bhiya N,1100,2,1,55.0
Super built-up  Area,Ready To Move,Subramanyapura,2,Mayne A,975,2,1,65.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1306,2,2,44.17
Super built-up  Area,Ready To Move,Yelahanka,3,Pyikad ,1484,2,2,56.4
Super built-up  Area,17-May,Ramamurthy Nagar,2,Vedhias,1125,2,1,47.0
Super built-up  Area,18-Jul,Bhoganhalli,2,Rosha I,1447,2,1,75.97
Built-up  Area,Ready To Move,Stage-4 Bommanahalli,2,Pantsce,1250,2,1,58.0
Super built-up  Area,Ready To Move,Hennur Road,4,Samittv,2502,4,2,180.0
Super built-up  Area,Ready To Move,Marathahalli,3,Afncyad,1600,3,3,58.0
Super built-up  Area,Ready To Move,Chikkalasandra,3,SLarei ,1365,2,2,49.0
Super built-up  Area,Ready To Move,Hormavu,2,ARaveSa,1260,2,2,35.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,Sarlsm ,1190,2,2,33.92
Super built-up  Area,Ready To Move,Banashankari Stage V,3,Naiewre,1510,3,3,47.57
Super built-up  Area,Ready To Move,Kundalahalli,2,Rasom B,1120,2,1,53.76
Super built-up  Area,Ready To Move,Dodsworth Layout,3,Ciques ,1717,3,3,99.0
Built-up  Area,Ready To Move,Bannerghatta Road,3,AMaveon,1465,2,1,45.87
Super built-up  Area,Ready To Move,Haralur Road,3,Ozensve,1255,2,1,90.0
Built-up  Area,18-Aug,Electronic City Phase II,2,Sryalan,1065,2,1,30.88
Super built-up  Area,Ready To Move,Bellandur,2,OriewLa,1281,2,2,87.0
Super built-up  Area,Ready To Move,Electronic City,2,Itelaa ,1210,2,2,25.0
Super built-up  Area,Ready To Move,Mysore Road,2,SaodySa,1237,2,2,73.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,Oaeze B,1300,2,1,70.0
Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1105,2,2,39.99
Super built-up  Area,Ready To Move,Chandapura,3,Riiew L,1505,2,2,42.0
